Date,Open,High,Low,Close,Adj Close,Volume
2021-09-19,2.067090,2.151182,1.944314,1.973453,1.973453,745020454
2021-09-20,1.973364,1.975591,1.554173,1.650480,1.650480,1094994134
2021-09-21,1.671690,1.823032,1.530708,1.574855,1.574855,837282638
2021-09-22,1.573031,1.893343,1.548955,1.842124,1.842124,794461325
2021-09-23,1.845113,2.050285,1.791806,2.005741,2.005741,904383367
2021-09-24,2.004822,2.005732,1.696169,1.788689,1.788689,883429431
2021-09-25,1.787645,1.812733,1.696783,1.733007,1.733007,502973449
2021-09-26,1.732647,1.777510,1.570411,1.773634,1.773634,565724981
2021-09-27,1.781787,1.852932,1.670282,1.674183,1.674183,667754720
2021-09-28,1.675228,1.718680,1.554216,1.561947,1.561947,535757746
2021-09-29,1.566934,1.749660,1.551558,1.605074,1.605074,535584347
2021-09-30,1.607103,1.659759,1.574318,1.628595,1.628595,490314234
2021-10-01,1.627095,1.811597,1.596160,1.774298,1.774298,624507474
2021-10-02,1.773578,1.882786,1.711804,1.777467,1.777467,602938373
2021-10-03,1.772787,1.996920,1.733641,1.987661,1.987661,827903086
2021-10-04,1.984018,2.092853,1.890626,1.933079,1.933079,1167834065
2021-10-05,1.937360,2.060342,1.923055,1.953356,1.953356,633197149
2021-10-06,1.951910,1.986897,1.786259,1.819466,1.819466,686265672
2021-10-07,1.815093,1.933960,1.754492,1.888237,1.888237,641358610
2021-10-08,1.889970,1.998362,1.880333,1.899197,1.899197,596084288
2021-10-09,1.895870,1.947883,1.865495,1.890509,1.890509,327236003
2021-10-10,1.891820,1.892179,1.762212,1.771453,1.771453,276716327
2021-10-11,1.768067,1.833448,1.680078,1.717525,1.717525,307108559
2021-10-12,1.717085,1.754366,1.608586,1.744901,1.744901,411949621
2021-10-13,1.746279,1.844707,1.692659,1.838683,1.838683,356995291
2021-10-14,1.837135,1.880034,1.780301,1.804155,1.804155,337223002
2021-10-15,1.809252,1.809252,1.732818,1.752944,1.752944,327662647
2021-10-16,1.753223,1.847857,1.735609,1.796759,1.796759,353041362
2021-10-17,1.796793,1.889162,1.726620,1.768144,1.768144,363795236
2021-10-18,1.769118,1.786475,1.715696,1.736743,1.736743,212462805
2021-10-19,1.737732,1.767561,1.686497,1.711154,1.711154,221010508
2021-10-20,1.710717,1.821373,1.688107,1.788533,1.788533,274389721
2021-10-21,1.789693,1.883407,1.756623,1.782411,1.782411,438671617
2021-10-22,1.784393,1.938168,1.772550,1.859406,1.859406,534119389
2021-10-23,1.859549,1.943056,1.847948,1.910205,1.910205,343212664
2021-10-24,1.910233,1.919486,1.782475,1.816633,1.816633,265679600
2021-10-25,1.815521,2.072838,1.808488,2.043943,2.043943,549366780
2021-10-26,2.048037,2.099178,1.951753,2.037904,2.037904,632762093
2021-10-27,2.041633,2.086174,1.706375,1.788678,1.788678,726406070
2021-10-28,1.788891,1.879895,1.755066,1.848400,1.848400,504296756
2021-10-29,1.846610,1.914176,1.836299,1.870480,1.870480,392802835
2021-10-30,1.875138,1.876264,1.788921,1.819644,1.819644,258239743
2021-10-31,1.820925,1.857766,1.758338,1.828690,1.828690,291738506
2021-11-01,1.828744,1.866444,1.779768,1.833672,1.833672,285592980
2021-11-02,1.832943,1.909099,1.831422,1.861833,1.861833,310956867
2021-11-03,1.862514,1.972472,1.826995,1.927815,1.927815,466342620
2021-11-04,1.926253,1.959828,1.821810,1.858965,1.858965,360452517
2021-11-05,1.861968,1.914220,1.832043,1.848338,1.848338,257097471
2021-11-06,1.845920,1.868012,1.780585,1.836958,1.836958,215086025
2021-11-07,1.838010,1.872678,1.821936,1.865430,1.865430,189001016
2021-11-08,1.867662,2.075135,1.839525,2.053813,2.053813,598547948
